Title,Release Date,Hardware Type,Genere
Air Walkers,1996,Sega Model 2A,Sports
Avengers on Galactic Storm,1996,JAMMA,Fighter
Ghostlop,1996,Neo Geo MVS,Puzzle
Quiz! Pipon!,1996,Sega ST-V Titan,Puzzle
Backfire!,1995,JAMMA,Racing
Chain Reaction,1995,JAMMA,Puzzle
Dunk Dream '95,1995,Neo Geo MVS,Sports
Hoops,1995,JAMMA,Sports
Mausuke No Ojama The World,1995,JAMMA,Puzzle
Suikoenbu,1995,Sega ST-V Titan,Fighting
Dunk Dream,1994,Neo Geo MVS,Sports
Fighters History Dynamite,1994,Neo Geo MVS,Fighting
Flying Power Disc,1994,Neo Geo MVS,Sports
Gun Hard,1994,Non Standard,Light Gun
Joe & Mac Returns,1994,JAMMA,Platform
Karnov's Revenge,1994,Jamma,Fighting
Street Slam,1994,Neo Geo MVS,Sports
Tattoo Assassins,1994,JAMMA,Fighting
World Cup Vollyball,1994,JAMMA,Sports
Fighters History,1993,JAMMA,Fighting
Heavy Smash The Future Sports,1993,JAMMA,Sports
Night Slashers,1993,JAMMA,Scrolling Fighter
Spinmaster,1993,Neo Geo MVS,Platform
"Great Ragtime Show, The",1992,JAMMA,Scrolling Fighter
Dark Seal 2,1992,JAMMA,Scrolling Fighter
Diet Go Go,1992,JAMMA,Shooter
Dragon Gun,1992,Non Standard,Light Gun
Captain America and the Avengers,1991,JAMMA,Scrolling Fighter
Caveman Ninja,1991,JAMMA,Platform
Death Brade,1991,JAMMA,Fighting
Thunder Zone,1991,JAMMA,Shooter
RoboCop 2,1991,JAMMA,Scrolling Fighter
Wolf Fang Ku-U-Ga 2001,1991,JAMMA,Shooter
Tumble Pop You Did It,1991,JAMMA,Platform
Cliff Hanger Edward Randy,1990,JAMMA,Scrolling Fighter
Crude Buster,1990,JAMMA,Scrolling Fighter
Dark Seal,1990,JAMMA,Scrolling Fighter
Act-Fancer: Cybernetick Hyper Weapon,1989,JAMMA,Platform
"Avengers, The",1989,JAMMA,Scrolling Fighter
Fighting Fantasy,1989,JAMMA,Fighting
Hippodrome,1989,JAMMA,Fighting
Kuhga Operation Code 'Vapor Trail',1989,Data East Classic,Shooter
Trio The Punch - Never Forget Me,1989,JAMMA,Scrolling Fighter
Vapor Trail Hyper Offence Formation,1989,JAMMA,Shooter
Midnight Resistance,1989,JAMMA,Shooter
Dragon Ninja,1988,JAMMA,Scrolling Fighter
Battle Rangers,1988,JAMMA,Scrolling Fighter
Birdie Try,1988,JAMMA,Sports
Bloody Wolf,1988,JAMMA,Shooter
Chelnov: Atomic Runner,1988,JAMMA,Platform
Cobra Command,1988,JAMMA,Shooter
Psycho Nics Oscar,1988,JAMMA,Shooter
RoboCop,1988,JAMMA,Scrolling Fighter
Captain Silver,1987,Data East Classic,Platform
Garyo Retsuden,1987,Data East Classic,Shooter
Heavy Barrel,1987,JAMMA,Shooter
"Ghostbusters, The Real",1987,JAMMA,Scrolling Fighter
Vs. TKO Boxing,1987,Nintendo Vs. System,Sports
Wonder Planet,1987,JAMMA,Shooter
Break Thru,1986,JAMMA,Shooter
Darwin 4078,1986,Konami Classic,Shooter
Express Raider,1986,Data East Classic,Scrolling Fighter
Fire Trap,1986,JAMMA,Platform
Zippy Bug,1986,Sega System 1,Shooter
B-Wings,1985,Data East Classic,Shooter
Boulder Dash,1985,DECO ,Maze
Competition Golf,1985,Non Standard,Sports
Shootout,1985,Non Standard,Shooter
Zero Target,1985,Data East Classic,Shooter
Battle Wings,1984,Data East Classic,Shooter
Fighting Ice Hocky,1984,DECO ,Sports
"Grand Sumo, The",1984,DECO ,Sports
Scrum Try,1984,DECO ,Sports
Tag Team Wrestling,1984,Data East Classic,Sports
Tokyo MIE Clinic,1984,DECO ,Puzzle
Zaviga,1984,Data East Classic,Shooter
Bega's Battle,1983,Non Standard,Scrolling Fighter
Genesis,1983,Non Standard,Platform
Cluster Buster,1983,DECO ,Puzzle
Graplop,1983,DECO ,Puzzle
Night Star,1983,DECO ,Shooter
Rootin' Tootin',1983,DECO ,Maze
Super Doubles Tennis,1983,DECO ,Sports
Fishing,1982,DECO ,Sports
Bump 'n' Jump,1982,DECO ,Racing
Disco No. 1,1982,DECO ,Maze
Misson X,1982,DECO ,Shooter
Super Astro Fighter,1982,DECO ,Shooter
Zoar,1982,Non Standard,Shooter
Astro Fantasia,1981,DECO ,Shooter
Lock 'n Chase,1981,Non Standard,Maze
Manhattan,1981,DECO ,Platform
Ninja,1981,DECO ,Shooter
Tournament  Pro Golf,1981,DECO ,Sports
Tornado,1981,DECO ,Shooter
Treasure Island,1981,DECO ,Platform
Mad Alien,1980,Data East Classic,Racing
Mole Hunter,1980,DECO ,Maze
Nebula,1980,DECO ,Shooter
Space Fighter Mark II,1980,DECO ,Shooter
Terranean,1980,DECO ,Shooter
Tomahawk 777,1980,Non Standard,Shooter
Nice On,1979,Unique,Platform